Python	
31	"Instructions: Write a program that prints out only names starting with 'J' from the following list using if statement.

names = ['Amanda','John','Joe','Carly','Jake,'Chloe','Brian','Jen','Tom']

Output:
John
Joe
Jake
Jen"
32	"Write a program that prints out the following using lists.

Output:
['1', '2', 'c']"
33	"Write a program that prints out the following using tuples.

Output:
('red', 'blue', 'green', 1, 2, '3')"
34	"Write a program that asks the user for 5 integers and print out the entered integers into a list.
A loop has been given to to guide you.

Enter number: 1
Enter number: 2
Enter number: 3
Enter number: 4
Enter number: 5 
[1, 2, 3, 4, 5]

Take note: To insert a number inside an index, we use append(). "
35	"Instructions:
Write a program that prints out the length of the following dictionary:

List:

dictionary = {""Colour"": ""Red"",""Food"": ""Cake"",""Number"": 5}

Output:

The length of the list is: 3"
36	"Write a program that prints out the message inside ""Read_me.txt""

Output:
Hello, you are reading me!"
37	"Write the following phrase under text inside ""Read_me.txt"" and print out both messages in the program:

""Python is an experiment in how much freedom programmers need. Too much freedom and nobody can read another's code; too little and expressiveness is endangered.""

Print the message with the specified format:
Hello, you are reading me!
Python is an experiment in how much freedom programmers need. 
Too much freedom and nobody can read another's code; 
too little and expressiveness is endangered."
38	"Write a program that reads Line 2 from the Read_me.txt

Output:
Name of the file:  Read_me.txt
Read Line: And Bingo was his name O"
39	"Instructions: 

Write a program that prints the product of two numbers entered by the user using functions.
A function has already been defined for you in the program.

Output:
Enter first number:3
Enter second number:4
The product of 3 and 4 is 12"
40	"Instructions:
Write a program that to check if the user entered an even number or an odd number by defining a function called evenOdd().

Output:
Enter a number: 5
5 is an odd number"
41	"Instructions: 
Write a program that prints out a list by defining a function called printList() if the user enters 'Y'.

If the user prints out another character that is not Y or N, print the message ""Invalid Character!""


Output of Y:
Do you want to print out the list? (Y/N): Y
B = [""Apples"", ""Banana"", ""Oranges"", ""DragonFruit""]

Output of 'N':
Do you want to print out the list? (Y/N): N
List will not be printed"
42	"Instructions: 

Write a program that create a class named Movie.
Afterwards, Have the program print out a, which is 15.


Output:
15"
43	"Instructions:

Write a program that create a class named Movie, use the __init__() function to assign values for character and genre:
Example from Chapter 10.3:

#Defining a Class
class Fruit:
  def __init__(self,make):
    self.make = make
 
#Class Instantiation
sampleFruit = Fruit(""Apple"")

#Print Statement
print(sampleFruit.make)"
44	"Create a class called Sunshine. Have the class print the message ""Good Morning, Sunshine!"" by defining a function called sun.

Output:
Good Morning, Sunshine!



Class Example from chapter 10.3: 

class SampleClass:
  i = 12345 #This is the class variable
 
  def su(self):
    return 'hello world'
x = SampleClass()
print (x.i, x.f())"
45	"Instructions:
Create a class called Dictionary. Create two functions :
1. translateFrench - It will take English word and will convert it into French.
2. translateEnglish - It will take French word and will convert it into English.
Any other numerical input - print out the message ""Invalid Number!""

A loop has been placed in the program to guide you.

Use the following words below:
Good night - Bonne nuit
Yes             - Oui
No              -  Non
Goodbye    - Au revoir
Thank you - Merci
Any other input - print out the message ""Word not recognized!

Output Example:
What would you like to do?
1. Translate from English to French
2. Translate from French to English

Enter Option: __2___ 

Enter Text: Oui
The English of Oui is No

What would you like to do?
1. Translate from English to French
2. Translate from French to English

Enter Option: __1___ 

Enter Text: Yes
The French of Yes is Oui"
46	"Instructions:

Create a class called Lists. Create two Functions:
animalList - contains the following list: animal = [""dog"", ""cat"", ""horse""]
fruitList     -  contains the following list: fruit = [""apple"", ""pear"", ""orange""]

Write a program that asks the user for 2 numbers. If the number is even, the program will print out the animalList. If the number is odd, the program will print out the FruitList.

Output Example #1:
Enter a number: 2
['dog', 'cat', 'horse']

Output Example #2:
Enter a number: 3
['apple', 'pear', 'orange']"
47	"Instructions: 

Create a class number SumofNum. 

Write a program that asks the user to enter integers by defining function Add(). 

The user is able to input any amount of integers until the user has input 0.

When the user types in 0, the functions will add all the entered numbers and print out its sum.

Output:
Enter a number: 2
Enter a number: 4
Enter a number: 3
Enter a number: 1 
Enter a number: 0
The sum of entered numbers is 10"
48	"Instructions:

Write an except statement that when the users enters a string, it will print out a message saying ""Please enter an integer number!"""
49	"The code for reading a file is given in the exercise.

Edit the code and write a try-except-else statement that asks the user to enter a filename the user wants to read.

If the user enters Hello.txt, it will display the text inside the file.

If the user enters the incorrect file name, it will display a message saying ""The file you are looking for does not exist!""

Expected Output Example #1:
Enter Filename: Hello.txt
Hello, World!

Expected Output Example #2:
Enter Filename: Random.txt
The file you are looking for does not exist!"
50	"Instructions:

Write a follow that asks the user to enter their birthday in mmddyy format.

Write a try-except statement that if the user inputs a letter, the program should print out an exception message saying ""Birthday should only consists of numbers!""

If no errors occur, it will print out the user's birthday.

Lastly, write a finally statement that prints the message ""Goodbye!""

Expected Output:
Enter your date of birth in mmddyyyy format:
For example: If your birthday is March 15, 1999, please enter 0315199.

Enter Here:  0315199
Your birthday is on 315199
Goodbye!

With Error:
Enter your date of birth in mmddyyyy format:
For example: If your birthday is March 15, 1999, please enter 0315199.

Enter Here:  March 15 1999
Birthday should only consists of numbers!
Goodbye!"
